Sequence	Position	Raw Binding (log ratio)
SEQ1	816	-0.476
SEQ1	817	-0.579
SEQ1	818	-0.175
SEQ1	819	0.118
SEQ1	820	0.122
SEQ1	821	0.0432
SEQ1	822	0.229
SEQ1	823	0.293
SEQ1	824	0.638
SEQ1	825	0.486
SEQ1	826	0.44
SEQ1	827	0.305
SEQ1	828	0.092
SEQ1	829	-0.222
SEQ1	830	-0.32
SEQ1	831	0.0215
SEQ1	832	0.116
SEQ1	833	0.513
SEQ1	834	0.667
SEQ1	835	0.765
SEQ1	836	0.731
SEQ1	837	0.217
SEQ1	838	0.031
SEQ1	839	0.117
SEQ1	840	0.0602
SEQ1	841	-0.142
SEQ1	842	-0.501
SEQ1	843	-0.54
SEQ1	844	-0.836
SEQ1	845	-0.781
SEQ1	846	-0.317
SEQ1	847	0.22
SEQ1	848	0.498
SEQ1	849	0.22
SEQ1	850	-0.0974
SEQ1	851	-0.629
SEQ1	852	-0.867
SEQ1	853	-1.24
SEQ1	854	-0.92
SEQ1	855	-0.363
SEQ1	856	-0.361
SEQ1	857	-0.281
SEQ1	858	-0.423
SEQ1	859	-0.861
SEQ1	860	-0.918
SEQ1	861	-0.898
SEQ1	862	-0.724
SEQ1	863	-0.26
SEQ1	864	-0.261
SEQ1	865	-0.39
SEQ1	866	-0.61
SEQ1	867	-0.237
SEQ1	868	0.265
SEQ1	869	0.909
SEQ1	870	1.17
SEQ1	871	0.95
SEQ1	872	0.443
SEQ1	873	-0.162
SEQ1	874	-0.31
SEQ1	875	-0.0293
SEQ1	876	0.187
SEQ1	877	0.12
SEQ1	878	0.486
SEQ1	879	0.423
SEQ1	880	0.439
SEQ1	881	0.894
SEQ1	882	0.812
SEQ1	883	1.07
SEQ1	884	1.18
SEQ1	885	1.16
SEQ1	886	1.07
SEQ1	887	1.16
SEQ1	888	1.43
SEQ1	889	1.73
SEQ1	890	1.66
SEQ1	891	1.59
SEQ1	892	1.51
SEQ1	893	1.2
SEQ1	894	0.763
SEQ1	895	0.225
SEQ1	896	-0.302
SEQ1	897	-0.503
SEQ1	898	-0.37
SEQ1	899	-0.00644
SEQ1	900	0.542
SEQ1	901	1.09
SEQ1	902	1.51
SEQ1	903	1.38
SEQ1	904	0.805
SEQ1	905	0.327
SEQ1	906	-0.589
SEQ1	907	-0.996
SEQ1	908	-1.06
SEQ1	909	-1.01
SEQ1	910	-0.505
SEQ1	911	-0.176
SEQ1	912	0.191
SEQ1	913	0.158
SEQ1	914	0.0098
SEQ1	915	-0.517
SEQ1	916	-1.26
SEQ1	917	-1.89
SEQ1	918	-2.57
SEQ1	919	-2.78
SEQ1	920	-2.53
SEQ1	921	-2.17
SEQ1	922	-1.37
SEQ1	923	-0.881
SEQ1	924	-0.677
SEQ1	925	-0.826
SEQ1	926	-1.2
SEQ1	927	-1.75
SEQ1	928	-2.19
SEQ1	929	-2.6
SEQ1	930	-2.58
SEQ1	931	-2.09
SEQ1	932	-1.6
SEQ1	933	-1.09
SEQ1	934	-0.822
SEQ1	935	-0.569
SEQ1	936	-0.46
SEQ1	937	-0.35
SEQ1	938	-0.599
SEQ1	939	-0.756
SEQ1	940	-1.36
SEQ1	941	-1.66
SEQ1	942	-1.71
SEQ1	943	-1.44
SEQ1	944	-0.98
SEQ1	945	-0.495
SEQ1	946	-0.483
SEQ1	947	-0.558
SEQ1	948	-0.801
SEQ1	949	-1.03
SEQ1	950	-1.23
SEQ1	951	-1.12
SEQ1	952	-1.08
SEQ1	953	-0.942
SEQ1	954	-0.812
SEQ1	955	-0.563
SEQ1	956	-0.364
SEQ1	957	-0.0632
SEQ1	958	0.29
SEQ1	959	0.256
SEQ1	960	0.274
SEQ1	961	-0.0937
SEQ1	962	-0.406
SEQ1	963	-0.928
SEQ1	964	-1.26
SEQ1	965	-1.18
SEQ1	966	-1.06
SEQ1	967	-1.04
SEQ1	968	-0.793
SEQ1	969	-0.685
SEQ1	970	-0.597
SEQ1	971	-0.618
SEQ1	972	-0.56
SEQ1	973	-0.57
SEQ1	974	-0.907
SEQ1	975	-1.1
SEQ1	976	-1.24
SEQ1	977	-1.57
SEQ1	978	-2.16
SEQ1	979	-2.37
SEQ1	980	-2.17
SEQ1	981	-1.71
SEQ1	982	-1.2
SEQ1	983	-0.747
SEQ1	984	-0.728
SEQ1	985	-0.853
SEQ1	986	-1.21
SEQ1	987	-1.77
SEQ1	988	-2.03
SEQ1	989	-2.2
SEQ1	990	-2.34
SEQ1	991	-2.22
SEQ1	992	-2.25
SEQ1	993	-2.1
SEQ1	994	-1.77
SEQ1	995	-1.69
SEQ1	996	-1.24
SEQ1	997	-0.89
SEQ1	998	-0.836
SEQ1	999	-0.862
SEQ1	1000	-1.06
SEQ1	1001	-0.993
SEQ1	1002	-0.893
SEQ1	1003	-0.652
SEQ1	1004	-0.119
SEQ1	1005	0.173
SEQ1	1006	0.323
SEQ1	1007	0.266
SEQ1	1008	-0.0195
SEQ1	1009	-0.567
SEQ1	1010	-1.15
SEQ1	1011	-1.35
SEQ1	1012	-0.935
SEQ1	1013	-0.123
SEQ1	1014	0.241
SEQ1	1015	0.445
SEQ1	1016	0.0411
SEQ1	1017	-0.213
SEQ1	1018	-0.534
SEQ1	1019	-0.36
SEQ1	1020	-0.111
SEQ1	1021	0.0707
SEQ1	1022	0.255
SEQ1	1023	0.571
SEQ1	1024	0.716
SEQ1	1025	0.738
SEQ1	1026	0.448
SEQ1	1027	0.0617
SEQ1	1028	-0.507
SEQ1	1029	-0.273
SEQ1	1030	0.0206
SEQ1	1031	0.39
SEQ1	1032	0.509
SEQ1	1033	0.719
SEQ1	1034	0.945
SEQ1	1035	1.19
SEQ1	1036	1.49
SEQ1	1037	1.12
SEQ1	1038	0.617
SEQ1	1039	0.48
SEQ1	1040	0.275
SEQ1	1041	0.335
SEQ1	1042	0.633
SEQ1	1043	0.91
SEQ1	1044	1.52
SEQ1	1045	1.7
SEQ1	1046	1.58
SEQ1	1047	1.24
SEQ1	1048	0.31
SEQ1	1049	-0.792
SEQ1	1050	-1.37
SEQ1	1051	-1.16
SEQ1	1052	-0.454
SEQ1	1053	0.282
SEQ1	1054	0.76
SEQ1	1055	0.874
SEQ1	1056	0.784
SEQ1	1057	0.422
SEQ1	1058	0.393
SEQ1	1059	-0.0796
SEQ1	1060	-0.282
SEQ1	1061	-0.153
SEQ1	1062	0.261
SEQ1	1063	0.923
SEQ1	1064	1.63
SEQ1	1065	1.74
SEQ1	1066	1.35
SEQ1	1067	0.892
SEQ1	1068	0.652
SEQ1	1069	-0.162
SEQ1	1070	-0.822
SEQ1	1071	-1.06
SEQ1	1072	-0.877
SEQ1	1073	-0.203
SEQ1	1074	0.542
SEQ1	1075	1.45
SEQ1	1076	2.24
SEQ1	1077	2.13
SEQ1	1078	1.76
SEQ1	1079	1.21
SEQ1	1080	0.232
SEQ1	1081	-0.627
SEQ1	1082	-0.653
SEQ1	1083	-0.0641
SEQ1	1084	0.803
SEQ1	1085	1.79
SEQ1	1086	2.13
SEQ1	1087	2
SEQ1	1088	1.26
SEQ1	1089	-0.0366
SEQ1	1090	-0.766
SEQ1	1091	-1.17
SEQ1	1092	-0.811
SEQ1	1093	0.254
SEQ1	1094	1.65
SEQ1	1095	2.51
SEQ1	1096	3.1
SEQ1	1097	2.72
SEQ1	1098	1.74
SEQ1	1099	0.644
SEQ1	1100	-0.249
SEQ1	1101	-0.271
SEQ1	1102	0.224
SEQ1	1103	0.54
SEQ1	1104	0.908
SEQ1	1105	1.29
SEQ1	1106	1.19
SEQ1	1107	0.959
SEQ1	1108	0.166
SEQ1	1109	-0.78
SEQ1	1110	-1.42
SEQ1	1111	-1.9
SEQ1	1112	-2
SEQ1	1113	-1.39
SEQ1	1114	-0.726
SEQ1	1115	0.00855
SEQ1	1116	0.595
SEQ1	1117	0.909
SEQ1	1118	0.0665
SEQ1	1119	-1.24
SEQ1	1120	-2.29
SEQ1	1121	-2.76
SEQ1	1122	-2.42
SEQ1	1123	-1.2
SEQ1	1124	0.203
SEQ1	1125	1.08
SEQ1	1126	1.27
SEQ1	1127	0.519
SEQ1	1128	-0.376
SEQ1	1129	-1.33
SEQ1	1130	-1.74
SEQ1	1131	-1.74
SEQ1	1132	-1.27
SEQ1	1133	-0.358
SEQ1	1134	0.608
SEQ1	1135	1.27
SEQ1	1136	1.3
SEQ1	1137	0.987
SEQ1	1138	0.534
SEQ1	1139	-0.598
SEQ1	1140	-2.05
SEQ1	1141	-2.82
SEQ1	1142	-2.7
SEQ1	1143	-2.14
SEQ1	1144	-0.999
SEQ1	1145	0.496
SEQ1	1146	1.33
SEQ1	1147	1.47
SEQ1	1148	1.13
SEQ1	1149	0.134
SEQ1	1150	-0.571
SEQ1	1151	-1.19
SEQ1	1152	-1.4
SEQ1	1153	-0.839
SEQ1	1154	-0.0298
SEQ1	1155	0.403
SEQ1	1156	0.613
SEQ1	1157	0.346
SEQ1	1158	-0.555
SEQ1	1159	-1.2
SEQ1	1160	-1.56
SEQ1	1161	-1.32
SEQ1	1162	-0.495
SEQ1	1163	0.255
SEQ1	1164	0.969
SEQ1	1165	1.45
SEQ1	1166	1.3
SEQ1	1167	0.578
SEQ1	1168	-0.0654
SEQ1	1169	-0.989
SEQ1	1170	-1.27
SEQ1	1171	-1.5
SEQ1	1172	-1.08
SEQ1	1173	0.0327
SEQ1	1174	0.764
SEQ1	1175	0.939
SEQ1	1176	0.655
SEQ1	1177	0.0988
SEQ1	1178	-0.329
SEQ1	1179	-0.629
SEQ1	1180	-0.917
SEQ1	1181	-0.858
SEQ1	1182	-0.255
SEQ1	1183	0.399
SEQ1	1184	1.25
SEQ1	1185	1.77
SEQ1	1186	1.85
SEQ1	1187	1.51
SEQ1	1188	0.707
SEQ1	1189	-0.184
SEQ1	1190	-0.825
SEQ1	1191	-0.906
SEQ1	1192	-0.77
SEQ1	1193	-0.25
SEQ1	1194	0.616
SEQ1	1195	1.26
SEQ1	1196	1.18
SEQ1	1197	0.536
SEQ1	1198	-0.327
SEQ1	1199	-0.753
SEQ1	1200	-1.13
SEQ1	1201	-0.849
SEQ1	1202	-0.183
SEQ1	1203	0.31
SEQ1	1204	0.883
SEQ1	1205	0.808
SEQ1	1206	0.346
SEQ1	1207	-0.289
SEQ1	1208	-1.14
SEQ1	1209	-1.81
SEQ1	1210	-2.03
SEQ1	1211	-1.77
SEQ1	1212	-0.709
SEQ1	1213	0.285
SEQ1	1214	0.881
SEQ1	1215	1.1
SEQ1	1216	0.926
SEQ1	1217	0.175
SEQ1	1218	-0.296
SEQ1	1219	-0.884
SEQ1	1220	-1.06
SEQ1	1221	-0.746
SEQ1	1222	-0.231
SEQ1	1223	0.00123
SEQ1	1224	0.289
SEQ1	1225	0.345
SEQ1	1226	0.168
SEQ1	1227	-0.68
SEQ1	1228	-1.5
SEQ1	1229	-1.9
SEQ1	1230	-1.91
SEQ1	1231	-1.38
