Sequence	Position	P start	P occupied
SEQ1	99	0.000314	0.894
SEQ1	100	0.000342	0.894
SEQ1	101	0.000397	0.895
SEQ1	102	0.000513	0.895
SEQ1	103	0.000689	0.896
SEQ1	104	0.00073	0.897
SEQ1	105	0.000695	0.897
SEQ1	106	0.000661	0.898
SEQ1	107	0.000696	0.899
SEQ1	108	0.000895	0.900
SEQ1	109	0.00123	0.901
SEQ1	110	0.00144	0.902
SEQ1	111	0.00112	0.903
SEQ1	112	0.000712	0.904
SEQ1	113	0.000323	0.904
SEQ1	114	0.000223	0.905
SEQ1	115	0.000356	0.905
SEQ1	116	0.000618	0.906
SEQ1	117	0.00111	0.907
SEQ1	118	0.00215	0.909
SEQ1	119	0.00245	0.911
SEQ1	120	0.0021	0.913
SEQ1	121	0.00119	0.915
SEQ1	122	0.000719	0.915
SEQ1	123	0.000417	0.916
SEQ1	124	0.000283	0.916
SEQ1	125	0.000239	0.916
SEQ1	126	0.00027	0.917
SEQ1	127	0.0004	0.917
SEQ1	128	0.000832	0.918
SEQ1	129	0.0018	0.920
SEQ1	130	0.00321	0.923
SEQ1	131	0.00337	0.926
SEQ1	132	0.00209	0.928
SEQ1	133	0.000853	0.929
SEQ1	134	0.000245	0.929
SEQ1	135	0.000126	0.929
SEQ1	136	0.000113	0.930
SEQ1	137	0.000151	0.930
SEQ1	138	0.000277	0.930
SEQ1	139	0.000594	0.931
SEQ1	140	0.000882	0.932
SEQ1	141	0.00125	0.933
SEQ1	142	0.00146	0.934
SEQ1	143	0.00119	0.935
SEQ1	144	0.000843	0.936
SEQ1	145	0.000491	0.937
SEQ1	146	0.000353	0.937
SEQ1	147	0.000563	0.877
SEQ1	148	0.000853	0.843
SEQ1	149	0.00215	0.824
SEQ1	150	0.00577	0.811
SEQ1	151	0.012	0.797
SEQ1	152	0.0163	0.780
SEQ1	153	0.0119	0.739
SEQ1	154	0.00877	0.659
SEQ1	155	0.00504	0.562
SEQ1	156	0.00417	0.496
SEQ1	157	0.00357	0.459
SEQ1	158	0.00478	0.448
SEQ1	159	0.00536	0.447
SEQ1	160	0.00817	0.451
SEQ1	161	0.0137	0.462
SEQ1	162	0.0191	0.478
SEQ1	163	0.025	0.498
SEQ1	164	0.0177	0.510
SEQ1	165	0.0115	0.512
SEQ1	166	0.00678	0.506
SEQ1	167	0.00731	0.492
SEQ1	168	0.00992	0.481
SEQ1	169	0.0146	0.482
SEQ1	170	0.0287	0.503
SEQ1	171	0.0347	0.533
SEQ1	172	0.0251	0.555
SEQ1	173	0.0114	0.562
SEQ1	174	0.00645	0.559
SEQ1	175	0.00539	0.550
SEQ1	176	0.00702	0.541
SEQ1	177	0.0126	0.542
SEQ1	178	0.0235	0.558
SEQ1	179	0.0407	0.593
SEQ1	180	0.0379	0.626
SEQ1	181	0.0476	0.672
SEQ1	182	0.0387	0.708
SEQ1	183	0.0219	0.727
SEQ1	184	0.0146	0.738
SEQ1	185	0.0118	0.740
SEQ1	186	0.00802	0.732
SEQ1	187	0.00481	0.720
SEQ1	188	0.00375	0.709
SEQ1	189	0.00492	0.708
SEQ1	190	0.00762	0.712
SEQ1	191	0.012	0.723
SEQ1	192	0.0165	0.738
SEQ1	193	0.0146	0.752
SEQ1	194	0.00911	0.760
SEQ1	195	0.00573	0.764
SEQ1	196	0.00543	0.768
SEQ1	197	0.00394	0.770
SEQ1	198	0.00596	0.775
SEQ1	199	0.00792	0.781
SEQ1	200	0.00945	0.789
SEQ1	201	0.00816	0.795
SEQ1	202	0.00582	0.799
SEQ1	203	0.00539	0.802
SEQ1	204	0.0047	0.804
SEQ1	205	0.00527	0.808
SEQ1	206	0.00494	0.812
SEQ1	207	0.00389	0.814
SEQ1	208	0.00254	0.815
SEQ1	209	0.00346	0.818
SEQ1	210	0.00419	0.821
SEQ1	211	0.00739	0.828
SEQ1	212	0.0128	0.839
SEQ1	213	0.0171	0.854
SEQ1	214	0.0134	0.865
SEQ1	215	0.00648	0.869
SEQ1	216	0.00574	0.873
SEQ1	217	0.00564	0.876
SEQ1	218	0.00572	0.881
SEQ1	219	0.00611	0.886
SEQ1	220	0.00546	0.891
SEQ1	221	0.00371	0.894
SEQ1	222	0.00244	0.896
SEQ1	223	0.00206	0.897
SEQ1	224	0.00207	0.899
SEQ1	225	0.00224	0.900
SEQ1	226	0.00283	0.902
SEQ1	227	0.00318	0.905
SEQ1	228	0.00344	0.908
SEQ1	229	0.00347	0.911
SEQ1	230	0.00385	0.915
SEQ1	231	0.00388	0.918
SEQ1	232	0.00516	0.923
SEQ1	233	0.00461	0.927
SEQ1	234	0.00317	0.929
SEQ1	235	0.00185	0.931
SEQ1	236	0.000811	0.931
SEQ1	237	0.000715	0.931
SEQ1	238	0.000866	0.932
SEQ1	239	0.0014	0.933
SEQ1	240	0.00153	0.935
SEQ1	241	0.00233	0.937
SEQ1	242	0.00261	0.939
SEQ1	243	0.00246	0.941
SEQ1	244	0.00285	0.944
SEQ1	245	0.00385	0.947
SEQ1	246	0.00367	0.951
SEQ1	247	0.00315	0.953
SEQ1	248	0.00208	0.955
SEQ1	249	0.00154	0.956
SEQ1	250	0.00118	0.957
SEQ1	251	0.00155	0.958
SEQ1	252	0.00173	0.959
SEQ1	253	0.00196	0.960
SEQ1	254	0.00133	0.960
SEQ1	255	0.000695	0.960
SEQ1	256	0.00032	0.959
SEQ1	257	0.000188	0.958
SEQ1	258	0.000192	0.957
SEQ1	259	0.000382	0.957
SEQ1	260	0.000626	0.957
SEQ1	261	0.000932	0.958
SEQ1	262	0.00133	0.959
SEQ1	263	0.00176	0.960
SEQ1	264	0.00215	0.961
SEQ1	265	0.00151	0.960
SEQ1	266	0.00126	0.959
SEQ1	267	0.000742	0.958
SEQ1	268	0.000509	0.957
SEQ1	269	0.000459	0.957
SEQ1	270	0.00046	0.957
SEQ1	271	0.000512	0.957
SEQ1	272	0.000852	0.958
SEQ1	273	0.000994	0.959
SEQ1	274	0.000745	0.959
SEQ1	275	0.000368	0.958
SEQ1	276	0.000189	0.957
SEQ1	277	0.000172	0.954
SEQ1	278	0.000207	0.951
SEQ1	279	0.000385	0.949
SEQ1	280	0.000893	0.949
SEQ1	281	0.00159	0.950
SEQ1	282	0.00193	0.952
SEQ1	283	0.00165	0.954
SEQ1	284	0.00091	0.954
SEQ1	285	0.000428	0.955
SEQ1	286	0.000217	0.954
SEQ1	287	0.000143	0.953
SEQ1	288	0.000109	0.952
SEQ1	289	0.000109	0.951
SEQ1	290	0.000186	0.950
SEQ1	291	0.000295	0.949
SEQ1	292	0.000607	0.949
SEQ1	293	0.000862	0.950
SEQ1	294	0.00107	0.950
SEQ1	295	0.000852	0.950
SEQ1	296	0.00057	0.949
SEQ1	297	0.000361	0.943
SEQ1	298	0.00045	0.932
SEQ1	299	0.000828	0.916
SEQ1	300	0.00182	0.906
SEQ1	301	0.00372	0.901
SEQ1	302	0.00575	0.902
SEQ1	303	0.00475	0.903
SEQ1	304	0.00226	0.901
SEQ1	305	0.000996	0.898
SEQ1	306	0.000845	0.893
SEQ1	307	0.000747	0.886
SEQ1	308	0.000823	0.873
SEQ1	309	0.000989	0.855
SEQ1	310	0.00105	0.831
SEQ1	311	0.00137	0.814
SEQ1	312	0.00201	0.805
SEQ1	313	0.00396	0.802
SEQ1	314	0.00731	0.802
SEQ1	315	0.0166	0.809
SEQ1	316	0.0201	0.814
SEQ1	317	0.0124	0.798
SEQ1	318	0.0102	0.773
SEQ1	319	0.00726	0.756
SEQ1	320	0.00565	0.750
SEQ1	321	0.00721	0.751
SEQ1	322	0.00792	0.753
SEQ1	323	0.0095	0.756
SEQ1	324	0.00935	0.752
SEQ1	325	0.0106	0.739
SEQ1	326	0.013	0.712
SEQ1	327	0.0162	0.690
SEQ1	328	0.0176	0.660
SEQ1	329	0.0159	0.637
SEQ1	330	0.01	0.625
SEQ1	331	0.00605	0.617
SEQ1	332	0.00381	0.609
SEQ1	333	0.00508	0.606
SEQ1	334	0.00881	0.610
SEQ1	335	0.011	0.617
SEQ1	336	0.0106	0.623
SEQ1	337	0.00633	0.621
SEQ1	338	0.00377	0.613
SEQ1	339	0.00255	0.599
SEQ1	340	0.00301	0.588
SEQ1	341	0.00401	0.583
SEQ1	342	0.00425	0.581
SEQ1	343	0.00377	0.579
SEQ1	344	0.00271	0.578
SEQ1	345	0.00221	0.574
SEQ1	346	0.00273	0.569
SEQ1	347	0.00481	0.565
SEQ1	348	0.00912	0.566
SEQ1	349	0.0115	0.571
SEQ1	350	0.0133	0.579
SEQ1	351	0.00854	0.583
SEQ1	352	0.00768	0.585
SEQ1	353	0.00768	0.588
SEQ1	354	0.00976	0.594
SEQ1	355	0.0122	0.604
SEQ1	356	0.0119	0.612
SEQ1	357	0.00768	0.616
SEQ1	358	0.00266	0.611
SEQ1	359	0.000815	0.599
SEQ1	360	0.00043	0.582
SEQ1	361	0.000689	0.570
SEQ1	362	0.00137	0.564
SEQ1	363	0.00262	0.561
SEQ1	364	0.00421	0.560
SEQ1	365	0.00547	0.560
SEQ1	366	0.00936	0.563
SEQ1	367	0.00821	0.566
SEQ1	368	0.00844	0.570
SEQ1	369	0.00714	0.575
SEQ1	370	0.00493	0.578
SEQ1	371	0.00278	0.579
SEQ1	372	0.00186	0.578
SEQ1	373	0.00246	0.578
SEQ1	374	0.00385	0.579
SEQ1	375	0.00578	0.581
SEQ1	376	0.0108	0.588
SEQ1	377	0.0159	0.600
SEQ1	378	0.0182	0.615
SEQ1	379	0.0114	0.621
SEQ1	380	0.00759	0.624
SEQ1	381	0.00645	0.627
SEQ1	382	0.00719	0.632
SEQ1	383	0.0107	0.642
SEQ1	384	0.017	0.659
SEQ1	385	0.027	0.685
SEQ1	386	0.0322	0.716
SEQ1	387	0.0351	0.749
SEQ1	388	0.0207	0.768
SEQ1	389	0.0174	0.782
SEQ1	390	0.0118	0.792
SEQ1	391	0.00592	0.795
SEQ1	392	0.00254	0.793
SEQ1	393	0.00128	0.791
SEQ1	394	0.000969	0.789
SEQ1	395	0.00171	0.788
SEQ1	396	0.0041	0.791
SEQ1	397	0.00968	0.800
SEQ1	398	0.0144	0.812
SEQ1	399	0.019	0.830
SEQ1	400	0.0193	0.847
SEQ1	401	0.0119	0.858
SEQ1	402	0.00758	0.864
SEQ1	403	0.00554	0.870
SEQ1	404	0.00425	0.874
SEQ1	405	0.00319	0.877
SEQ1	406	0.00231	0.879
SEQ1	407	0.00182	0.880
SEQ1	408	0.00185	0.881
SEQ1	409	0.00155	0.881
SEQ1	410	0.00169	0.881
SEQ1	411	0.00161	0.880
SEQ1	412	0.00158	0.880
SEQ1	413	0.00152	0.881
SEQ1	414	0.00145	0.881
SEQ1	415	0.00234	0.883
SEQ1	416	0.00596	0.889
SEQ1	417	0.0126	0.901
SEQ1	418	0.0202	0.921
SEQ1	419	0.0175	0.937
SEQ1	420	0.00771	0.944
SEQ1	421	0.00307	0.946
SEQ1	422	0.00133	0.947
SEQ1	423	0.000711	0.948
SEQ1	424	0.000578	0.948
SEQ1	425	0.000411	0.948
SEQ1	426	0.000304	0.948
SEQ1	427	0.000301	0.948
SEQ1	428	0.000356	0.946
SEQ1	429	0.000309	0.945
SEQ1	430	0.000321	0.943
SEQ1	431	0.000431	0.943
SEQ1	432	0.000575	0.943
SEQ1	433	0.000807	0.944
SEQ1	434	0.00119	0.945
SEQ1	435	0.00158	0.946
SEQ1	436	0.00166	0.948
SEQ1	437	0.00153	0.949
SEQ1	438	0.000915	0.950
SEQ1	439	0.000583	0.950
SEQ1	440	0.000357	0.949
SEQ1	441	0.000218	0.948
SEQ1	442	0.000142	0.948
SEQ1	443	0.000167	0.947
SEQ1	444	0.000283	0.947
SEQ1	445	0.000453	0.947
SEQ1	446	0.000597	0.947
SEQ1	447	0.000853	0.946
SEQ1	448	0.00095	0.943
SEQ1	449	0.00108	0.939
SEQ1	450	0.0012	0.935
SEQ1	451	0.00112	0.934
SEQ1	452	0.00108	0.934
SEQ1	453	0.00117	0.934
SEQ1	454	0.000815	0.934
SEQ1	455	0.000697	0.934
SEQ1	456	0.000813	0.934
SEQ1	457	0.000789	0.934
SEQ1	458	0.000772	0.933
SEQ1	459	0.000592	0.932
SEQ1	460	0.000397	0.928
SEQ1	461	0.000304	0.921
SEQ1	462	0.000246	0.905
SEQ1	463	0.000296	0.885
SEQ1	464	0.000465	0.873
SEQ1	465	0.00161	0.865
SEQ1	466	0.00377	0.861
SEQ1	467	0.00626	0.862
SEQ1	468	0.00828	0.863
SEQ1	469	0.00562	0.860
SEQ1	470	0.00263	0.854
SEQ1	471	0.00177	0.846
SEQ1	472	0.00102	0.836
SEQ1	473	0.000906	0.824
SEQ1	474	0.00119	0.809
SEQ1	475	0.00153	0.793
SEQ1	476	0.00188	0.779
SEQ1	477	0.00192	0.771
SEQ1	478	0.00205	0.767
SEQ1	479	0.00179	0.765
SEQ1	480	0.00191	0.762
SEQ1	481	0.00217	0.755
SEQ1	482	0.00287	0.747
SEQ1	483	0.00407	0.741
SEQ1	484	0.00485	0.739
SEQ1	485	0.0044	0.740
SEQ1	486	0.00324	0.740
SEQ1	487	0.00325	0.741
SEQ1	488	0.00263	0.739
SEQ1	489	0.00266	0.738
SEQ1	490	0.00278	0.737
SEQ1	491	0.00135	0.735
SEQ1	492	0.000653	0.734
SEQ1	493	0.000374	0.731
SEQ1	494	0.000326	0.727
SEQ1	495	0.000383	0.718
SEQ1	496	0.000544	0.707
SEQ1	497	0.00104	0.695
SEQ1	498	0.0022	0.689
SEQ1	499	0.00342	0.684
SEQ1	500	0.00427	0.681
SEQ1	501	0.00468	0.676
SEQ1	502	0.00508	0.669
SEQ1	503	0.00418	0.661
SEQ1	504	0.00349	0.657
SEQ1	505	0.00322	0.657
SEQ1	506	0.0025	0.659
SEQ1	507	0.00158	0.660
SEQ1	508	0.00122	0.661
SEQ1	509	0.00121	0.661
SEQ1	510	0.00162	0.660
SEQ1	511	0.00215	0.658
SEQ1	512	0.00288	0.655
SEQ1	513	0.00457	0.650
SEQ1	514	0.00549	0.648
SEQ1	515	0.00754	0.647
SEQ1	516	0.00613	0.646
SEQ1	517	0.00623	0.647
SEQ1	518	0.00673	0.651
SEQ1	519	0.0058	0.655
SEQ1	520	0.00541	0.658
SEQ1	521	0.0056	0.660
SEQ1	522	0.00436	0.658
SEQ1	523	0.00421	0.651
SEQ1	524	0.00384	0.639
SEQ1	525	0.00266	0.624
SEQ1	526	0.00212	0.615
SEQ1	527	0.00205	0.609
SEQ1	528	0.00275	0.605
SEQ1	529	0.00293	0.601
SEQ1	530	0.00354	0.594
SEQ1	531	0.00417	0.581
SEQ1	532	0.00433	0.558
SEQ1	533	0.00387	0.530
SEQ1	534	0.00315	0.498
SEQ1	535	0.00413	0.482
SEQ1	536	0.00596	0.470
SEQ1	537	0.00829	0.467
SEQ1	538	0.0101	0.471
SEQ1	539	0.0102	0.478
SEQ1	540	0.0106	0.488
SEQ1	541	0.00783	0.495
SEQ1	542	0.00904	0.502
SEQ1	543	0.0106	0.509
SEQ1	544	0.0105	0.509
SEQ1	545	0.0125	0.507
SEQ1	546	0.00956	0.498
SEQ1	547	0.01	0.489
SEQ1	548	0.0104	0.487
SEQ1	549	0.0101	0.490
SEQ1	550	0.0122	0.496
SEQ1	551	0.0113	0.503
SEQ1	552	0.0146	0.515
SEQ1	553	0.0137	0.526
SEQ1	554	0.0109	0.535
SEQ1	555	0.00856	0.542
SEQ1	556	0.0077	0.548
SEQ1	557	0.00551	0.552
SEQ1	558	0.00428	0.555
SEQ1	559	0.00401	0.557
SEQ1	560	0.00434	0.560
SEQ1	561	0.00454	0.563
SEQ1	562	0.00382	0.564
SEQ1	563	0.00354	0.562
SEQ1	564	0.00516	0.555
SEQ1	565	0.00831	0.543
SEQ1	566	0.012	0.537
SEQ1	567	0.0206	0.550
SEQ1	568	0.0286	0.576
SEQ1	569	0.0389	0.613
SEQ1	570	0.0402	0.653
SEQ1	571	0.032	0.684
SEQ1	572	0.0247	0.708
SEQ1	573	0.0202	0.728
SEQ1	574	0.0183	0.746
SEQ1	575	0.0156	0.762
SEQ1	576	0.0157	0.777
SEQ1	577	0.00941	0.786
SEQ1	578	0.00579	0.791
SEQ1	579	0.00481	0.796
SEQ1	580	0.0062	0.801
SEQ1	581	0.0079	0.808
SEQ1	582	0.0118	0.818
SEQ1	583	0.0129	0.829
SEQ1	584	0.0112	0.839
SEQ1	585	0.00668	0.845
SEQ1	586	0.00487	0.849
SEQ1	587	0.00496	0.854
SEQ1	588	0.00448	0.858
SEQ1	589	0.0059	0.864
SEQ1	590	0.00604	0.869
SEQ1	591	0.00937	0.878
SEQ1	592	0.00953	0.888
SEQ1	593	0.00722	0.894
SEQ1	594	0.00646	0.900
SEQ1	595	0.00536	0.904
SEQ1	596	0.00314	0.906
SEQ1	597	0.0023	0.907
SEQ1	598	0.00232	0.909
SEQ1	599	0.00169	0.909
SEQ1	600	0.00155	0.910
SEQ1	601	0.00232	0.911
SEQ1	602	0.00508	0.915
SEQ1	603	0.00638	0.921
SEQ1	604	0.00614	0.926
SEQ1	605	0.00385	0.929
SEQ1	606	0.00255	0.931
SEQ1	607	0.00155	0.933
SEQ1	608	0.000974	0.933
SEQ1	609	0.000793	0.934
SEQ1	610	0.000695	0.934
SEQ1	611	0.000532	0.934
SEQ1	612	0.000373	0.933
SEQ1	613	0.000375	0.930
SEQ1	614	0.000513	0.924
SEQ1	615	0.000575	0.916
SEQ1	616	0.000902	0.911
SEQ1	617	0.000952	0.910
SEQ1	618	0.00173	0.910
SEQ1	619	0.0035	0.912
SEQ1	620	0.00463	0.916
SEQ1	621	0.00474	0.919
SEQ1	622	0.00434	0.922
SEQ1	623	0.00326	0.924
SEQ1	624	0.0018	0.924
SEQ1	625	0.001	0.922
SEQ1	626	0.000733	0.921
SEQ1	627	0.000568	0.920
SEQ1	628	0.000757	0.919
SEQ1	629	0.00117	0.917
SEQ1	630	0.00351	0.916
SEQ1	631	0.00734	0.919
SEQ1	632	0.0097	0.924
SEQ1	633	0.00741	0.928
SEQ1	634	0.00626	0.931
SEQ1	635	0.00359	0.932
SEQ1	636	0.00167	0.931
SEQ1	637	0.000938	0.930
SEQ1	638	0.000558	0.929
SEQ1	639	0.000496	0.929
SEQ1	640	0.000573	0.929
SEQ1	641	0.000932	0.929
SEQ1	642	0.00104	0.930
SEQ1	643	0.00102	0.930
SEQ1	644	0.000943	0.930
SEQ1	645	0.000837	0.929
SEQ1	646	0.00072	0.926
SEQ1	647	0.000645	0.923
SEQ1	648	0.000806	0.919
SEQ1	649	0.000947	0.915
SEQ1	650	0.00125	0.912
SEQ1	651	0.00172	0.910
SEQ1	652	0.00222	0.909
SEQ1	653	0.00226	0.909
SEQ1	654	0.00202	0.909
SEQ1	655	0.00128	0.909
SEQ1	656	0.000875	0.909
SEQ1	657	0.000825	0.908
SEQ1	658	0.0011	0.907
SEQ1	659	0.00149	0.906
SEQ1	660	0.00167	0.903
SEQ1	661	0.0014	0.899
SEQ1	662	0.000901	0.892
SEQ1	663	0.000914	0.887
SEQ1	664	0.000897	0.882
SEQ1	665	0.00115	0.876
SEQ1	666	0.00112	0.871
SEQ1	667	0.0013	0.867
SEQ1	668	0.00111	0.863
SEQ1	669	0.00136	0.860
SEQ1	670	0.00118	0.857
SEQ1	671	0.00108	0.854
SEQ1	672	0.00163	0.853
SEQ1	673	0.00219	0.853
SEQ1	674	0.0022	0.853
SEQ1	675	0.00205	0.852
SEQ1	676	0.00248	0.852
SEQ1	677	0.00267	0.851
SEQ1	678	0.0038	0.851
SEQ1	679	0.00331	0.850
SEQ1	680	0.00318	0.849
SEQ1	681	0.00279	0.849
SEQ1	682	0.00228	0.847
SEQ1	683	0.00171	0.842
SEQ1	684	0.00162	0.836
SEQ1	685	0.0024	0.828
SEQ1	686	0.00279	0.821
SEQ1	687	0.00438	0.814
SEQ1	688	0.00531	0.812
SEQ1	689	0.00611	0.809
SEQ1	690	0.00618	0.805
SEQ1	691	0.00384	0.798
SEQ1	692	0.00334	0.789
SEQ1	693	0.00376	0.783
SEQ1	694	0.00369	0.777
SEQ1	695	0.00314	0.769
SEQ1	696	0.00228	0.762
SEQ1	697	0.0023	0.752
SEQ1	698	0.00178	0.742
SEQ1	699	0.00199	0.730
SEQ1	700	0.00331	0.719
SEQ1	701	0.00586	0.714
SEQ1	702	0.00795	0.714
SEQ1	703	0.00615	0.712
SEQ1	704	0.00454	0.711
SEQ1	705	0.00268	0.709
SEQ1	706	0.00212	0.708
SEQ1	707	0.00147	0.705
SEQ1	708	0.00204	0.702
SEQ1	709	0.00357	0.702
SEQ1	710	0.0036	0.702
SEQ1	711	0.00393	0.701
SEQ1	712	0.00344	0.696
SEQ1	713	0.00226	0.686
SEQ1	714	0.00221	0.668
SEQ1	715	0.00239	0.642
SEQ1	716	0.00309	0.606
SEQ1	717	0.00537	0.571
SEQ1	718	0.00573	0.545
SEQ1	719	0.00528	0.525
SEQ1	720	0.00439	0.509
SEQ1	721	0.0065	0.498
SEQ1	722	0.0108	0.493
SEQ1	723	0.0206	0.498
SEQ1	724	0.0266	0.515
SEQ1	725	0.0213	0.530
SEQ1	726	0.0128	0.538
SEQ1	727	0.00701	0.539
SEQ1	728	0.00606	0.537
SEQ1	729	0.00809	0.534
SEQ1	730	0.0101	0.531
SEQ1	731	0.00939	0.529
SEQ1	732	0.0133	0.536
SEQ1	733	0.0121	0.543
SEQ1	734	0.0121	0.550
SEQ1	735	0.0189	0.564
SEQ1	736	0.0175	0.576
SEQ1	737	0.0225	0.593
SEQ1	738	0.0254	0.609
SEQ1	739	0.025	0.624
SEQ1	740	0.0225	0.639
SEQ1	741	0.0243	0.657
SEQ1	742	0.0307	0.682
SEQ1	743	0.0393	0.719
SEQ1	744	0.0341	0.750
SEQ1	745	0.03	0.778
SEQ1	746	0.027	0.803
SEQ1	747	0.0193	0.821
SEQ1	748	0.0124	0.831
SEQ1	749	0.00732	0.833
SEQ1	750	0.00438	0.831
SEQ1	751	0.00359	0.829
SEQ1	752	0.00394	0.829
SEQ1	753	0.00532	0.832
SEQ1	754	0.00863	0.839
SEQ1	755	0.0142	0.852
SEQ1	756	0.0212	0.873
SEQ1	757	0.0186	0.890
SEQ1	758	0.0105	0.900
SEQ1	759	0.00653	0.907
SEQ1	760	0.00261	0.909
SEQ1	761	0.00172	0.910
SEQ1	762	0.0016	0.911
SEQ1	763	0.00164	0.912
SEQ1	764	0.00269	0.913
SEQ1	765	0.00375	0.916
SEQ1	766	0.00555	0.918
SEQ1	767	0.00563	0.919
SEQ1	768	0.0051	0.919
SEQ1	769	0.00315	0.918
SEQ1	770	0.00154	0.916
SEQ1	771	0.000818	0.915
SEQ1	772	0.000402	0.914
SEQ1	773	0.000312	0.914
SEQ1	774	0.00039	0.914
SEQ1	775	0.000549	0.914
SEQ1	776	0.00122	0.914
SEQ1	777	0.00206	0.912
SEQ1	778	0.00273	0.908
SEQ1	779	0.00259	0.900
SEQ1	780	0.00192	0.895
SEQ1	781	0.00117	0.890
SEQ1	782	0.000761	0.887
SEQ1	783	0.000501	0.886
SEQ1	784	0.000479	0.885
SEQ1	785	0.000742	0.886
SEQ1	786	0.00116	0.886
SEQ1	787	0.00189	0.888
SEQ1	788	0.00248	0.889
SEQ1	789	0.00321	0.891
SEQ1	790	0.0036	0.894
SEQ1	791	0.00403	0.897
SEQ1	792	0.00311	0.899
SEQ1	793	0.00256	0.901
SEQ1	794	0.00131	0.902
SEQ1	795	0.000926	0.902
SEQ1	796	0.00086	0.902
SEQ1	797	0.00114	0.902
SEQ1	798	0.00183	0.902
SEQ1	799	0.00303	0.903
SEQ1	800	0.00313	0.904
SEQ1	801	0.00294	0.904
SEQ1	802	0.00224	0.905
SEQ1	803	0.00162	0.906
SEQ1	804	0.00109	0.906
SEQ1	805	0.00103	0.906
SEQ1	806	0.00102	0.906
SEQ1	807	0.00116	0.905
SEQ1	808	0.00133	0.905
SEQ1	809	0.0017	0.906
SEQ1	810	0.00206	0.907
SEQ1	811	0.00274	0.909
SEQ1	812	0.00382	0.912
SEQ1	813	0.00355	0.914
SEQ1	814	0.00349	0.916
SEQ1	815	0.00235	0.918
SEQ1	816	0.00172	0.918
SEQ1	817	0.00103	0.918
SEQ1	818	0.000739	0.917
SEQ1	819	0.000817	0.917
SEQ1	820	0.000944	0.915
SEQ1	821	0.000983	0.914
